dataset_variant,label_type,label,count,percent
known_artist_only,artist,raoul-dufy,133,0.3365
known_artist_only,artist,viktor-vasnetsov,132,0.3339
known_artist_only,artist,paolo-veronese,130,0.3289
known_artist_only,artist,michelangelo,129,0.3263
known_artist_only,artist,m.c.-escher,126,0.3187
known_artist_only,artist,hans-holbein-the-younger,121,0.3061
known_artist_only,artist,maxime-maufra,119,0.301
known_artist_only,artist,niko-pirosmani,113,0.2859
known_artist_only,artist,andy-warhol,107,0.2707
known_artist_only,artist,gustav-klimt,105,0.2656
known_artist_only,artist,henri-fantin-latour,105,0.2656
known_artist_only,artist,mikhail-vrubel,95,0.2403
known_artist_only,artist,jacob-jordaens,94,0.2378
known_artist_only,artist,jacek-malczewski,91,0.2302
known_artist_only,artist,koloman-moser,85,0.215
known_artist_only,artist,edward-burne-jones,84,0.2125
known_artist_only,artist,gustave-moreau,83,0.21
known_artist_only,artist,eugene-delacroix,75,0.1897
known_artist_only,artist,mikalojus-ciurlionis,48,0.1214
known_artist_only,artist,canaletto,42,0.1062
known_artist_only,artist,Unknown Artist,0,0.0
