dataset_variant,label_type,label,count,percent
full_dataset,artist,berthe-morisot,225,0.2763
full_dataset,artist,giovanni-boldini,225,0.2763
full_dataset,artist,vasily-polenov,225,0.2763
full_dataset,artist,fernand-leger,223,0.2738
full_dataset,artist,gustave-courbet,217,0.2664
full_dataset,artist,orest-kiprensky,216,0.2652
full_dataset,artist,edouard-cortes,214,0.2628
full_dataset,artist,john-henry-twachtman,214,0.2628
full_dataset,artist,edouard-manet,210,0.2578
full_dataset,artist,georges-braque,208,0.2554
full_dataset,artist,francisco-goya,205,0.2517
full_dataset,artist,kuzma-petrov-vodkin,205,0.2517
full_dataset,artist,ferdinand-hodler,204,0.2505
full_dataset,artist,titian,204,0.2505
full_dataset,artist,joshua-reynolds,200,0.2456
full_dataset,artist,utagawa-kuniyoshi,199,0.2443
full_dataset,artist,nikolay-bogdanov-belsky,198,0.2431
full_dataset,artist,juan-gris,196,0.2407
full_dataset,artist,konstantin-somov,194,0.2382
full_dataset,artist,ilya-mashkov,193,0.237
full_dataset,artist,valentin-serov,191,0.2345
full_dataset,artist,tintoretto,187,0.2296
full_dataset,artist,gustave-caillebotte,182,0.2235
full_dataset,artist,hieronymus-bosch,182,0.2235
full_dataset,artist,lucas-cranach-the-elder,179,0.2198
full_dataset,artist,vasily-perov,178,0.2186
full_dataset,artist,frans-hals,176,0.2161
full_dataset,artist,pietro-perugino,173,0.2124
full_dataset,artist,bartolome-esteban-murillo,171,0.21
full_dataset,artist,ivan-bilibin,171,0.21
full_dataset,artist,katsushika-hokusai,171,0.21
full_dataset,artist,antoine-blanchard,170,0.2087
full_dataset,artist,felix-vallotton,169,0.2075
full_dataset,artist,theo-van-rysselberghe,169,0.2075
full_dataset,artist,fra-angelico,167,0.205
full_dataset,artist,jan-matejko,167,0.205
full_dataset,artist,sir-lawrence-alma-tadema,166,0.2038
full_dataset,artist,vasily-vereshchagin,166,0.2038
full_dataset,artist,leonardo-da-vinci,164,0.2014
full_dataset,artist,odilon-redon,164,0.2014
full_dataset,artist,thomas-gainsborough,164,0.2014
full_dataset,artist,anthony-van-dyck,163,0.2001
full_dataset,artist,georges-seurat,162,0.1989
full_dataset,artist,arkhip-kuindzhi,161,0.1977
full_dataset,artist,aubrey-beardsley,161,0.1977
full_dataset,artist,el-greco,159,0.1952
full_dataset,artist,gene-davis,155,0.1903
full_dataset,artist,ivan-kramskoy,154,0.1891
full_dataset,artist,fernando-botero,151,0.1854
full_dataset,artist,hans-memling,151,0.1854
full_dataset,artist,edvard-munch,150,0.1842
full_dataset,artist,mstislav-dobuzhinsky,149,0.1829
full_dataset,artist,karl-bryullov,145,0.178
full_dataset,artist,raphael,143,0.1756
full_dataset,artist,pierre-bonnard,142,0.1744
full_dataset,artist,william-turner,141,0.1731
full_dataset,artist,henri-martin,140,0.1719
full_dataset,artist,dante-gabriel-rossetti,139,0.1707
full_dataset,artist,joseph-wright,135,0.1658
full_dataset,artist,james-mcneill-whistler,134,0.1645
full_dataset,artist,raoul-dufy,133,0.1633
full_dataset,artist,viktor-vasnetsov,132,0.1621
full_dataset,artist,paolo-veronese,130,0.1596
full_dataset,artist,michelangelo,129,0.1584
full_dataset,artist,m.c.-escher,126,0.1547
full_dataset,artist,hans-holbein-the-younger,121,0.1486
full_dataset,artist,maxime-maufra,119,0.1461
full_dataset,artist,niko-pirosmani,113,0.1387
full_dataset,artist,andy-warhol,107,0.1314
full_dataset,artist,gustav-klimt,105,0.1289
full_dataset,artist,henri-fantin-latour,105,0.1289
full_dataset,artist,mikhail-vrubel,95,0.1166
full_dataset,artist,jacob-jordaens,94,0.1154
full_dataset,artist,jacek-malczewski,91,0.1117
full_dataset,artist,koloman-moser,85,0.1044
full_dataset,artist,edward-burne-jones,84,0.1031
full_dataset,artist,gustave-moreau,83,0.1019
full_dataset,artist,eugene-delacroix,75,0.0921
full_dataset,artist,mikalojus-ciurlionis,48,0.0589
full_dataset,artist,canaletto,42,0.0516
